id;title;author;isbn;price;published_date;available_copies
1;yippee wherever warm;impure;steeple next ;17465.14;2025-07-23T04:55:05;4512
2;broadly fibre phew;brr carelessly phooey;but freight;12920.38;2025-07-23T05:22:37;21571
3;into signature;phew oddball;whyXXXXXXX;4250.05;2025-07-23T02:36:41;7322
4;since slowly;qualified;coaxingly wha;20856.4;2025-07-22T23:40:43;2061
5;resource uh-huh;saw perky;impeccable wo;29829.38;2025-07-22T20:48:45;27498
6;serialize ouch;than forager;dissembleX;4913.32;2025-07-22T21:51:36;2390
7;beneath mobilize phooey;mid;willfullyX;208.47;2025-07-22T15:43:04;31531
8;showboat huzzah;circumference language as;as rivalXX;9431.73;2025-07-23T00:42:55;30582
9;simple;deed;deadXXXXXX;25369.64;2025-07-22T12:10:22;11182
10;concrete fully;costume;yippee soon s;19500;2025-07-22T14:55:26;8752
