id;user_id;book_isbn;quantity;total_amount
1;amidst;why rightfully mockingly;124;15142.44
2;nucleotidase;facilitate including masterpiece;5960;15966.77
3;tenant underneath intervention;even male incidentally;27981;30126.06
4;ah;lyre blindly ouch;19128;14490.03
5;lazily;alongside;8813;25135.86
6;convection;impure fluff;3058;17179.65
7;eke milestone;until dramatic voluntarily;31915;27859.45
8;ack uh-huh anti;drum;9888;17028.91
9;huzzah sneak;nor but solder;1348;16495.48
10;whether because after;boo guard;29690;27878.33
