id;book_isbn;rating;comment;review_date
1;unfit adaptat;5;for;2025-07-28T22:55:44
2;pertain depen;5;duh doubtfully;2025-07-29T09:55:44
3;pishXXXXXX;4;athwart scotch;2025-07-29T04:28:51
4;booXXXXXXX;3;purple microblog;2025-07-29T03:30:20
5;tentacle stee;4;sup;2025-07-29T12:06:25
6;than oh silen;5;amnesty actually;2025-07-28T20:27:45
7;excited unacc;3;accidentally mild;2025-07-28T16:49:14
8;bar sinceX;5;so;2025-07-29T02:11:43
9;sometimes ice;3;joyfully about;2025-07-28T20:02:03
10;despiteXXX;5;as;2025-07-28T18:42:24
